item_id	test_sample_index	target_token_index	source_rank	auto_strict_label	auto_loose_label	mapped	oracle_reason	source_node_type	target_node_type	source_node_text	target_node_text
test46_t2160_s08	46	2160	8	spurious	supported	True	control_dependency	identifier	interpreted_string_literal	connect	"""cannot update the privateKeyType field without changingRootPKIPath"""
test46_t2160_s09	46	2160	9	spurious	spurious	True	unsupported	interpreted_string_literal_content	interpreted_string_literal	"""failed to parse existing CA config: %w"""	"""cannot update the privateKeyType field without changingRootPKIPath"""
test46_t2160_s10	46	2160	10	spurious	spurious	False	unmapped				
test49_t1809_s01	49	1809	1	spurious	spurious	False	unmapped				
test49_t1809_s02	49	1809	2	spurious	spurious	True	unsupported	identifier	if_statement	panicMsg	
test49_t1809_s03	49	1809	3	spurious	spurious	True	unsupported	type_identifier	if_statement	Mock	
test49_t1809_s04	49	1809	4	spurious	spurious	False	unmapped				
test49_t1809_s05	49	1809	5	spurious	spurious	True	unsupported	identifier	if_statement	AssertExpectationsForObjects	
test49_t1809_s06	49	1809	6	spurious	spurious	False	unmapped				
test49_t1809_s07	49	1809	7	spurious	spurious	True	unsupported	field_identifier	if_statement	Calls	
test49_t1809_s08	49	1809	8	spurious	supported	True	control_dependency	selector_expression	if_statement		
test49_t1809_s09	49	1809	9	spurious	spurious	True	unsupported	identifier	if_statement	AssertExpectationsForObjects	
test49_t1809_s10	49	1809	10	spurious	spurious	False	unmapped				
test6_t783_s01	6	783	1	spurious	supported	True	same_statement	selector_expression	interpreted_string_literal		"""invalid configuration, multiple packages with the same name: pkg=%s"""
test6_t783_s02	6	783	2	spurious	spurious	True	unsupported	identifier	interpreted_string_literal	analyzer	"""invalid configuration, multiple packages with the same name: pkg=%s"""
test6_t783_s03	6	783	3	spurious	spurious	True	unsupported	identifier	interpreted_string_literal	uniqPackages	"""invalid configuration, multiple packages with the same name: pkg=%s"""
test6_t783_s04	6	783	4	spurious	spurious	False	unmapped				
test6_t783_s05	6	783	5	spurious	spurious	True	unsupported	nil	interpreted_string_literal		"""invalid configuration, multiple packages with the same name: pkg=%s"""
test6_t783_s06	6	783	6	spurious	supported	True	control_dependency	selector_expression	interpreted_string_literal		"""invalid configuration, multiple packages with the same name: pkg=%s"""
test6_t783_s07	6	783	7	spurious	spurious	False	unmapped				
test6_t783_s08	6	783	8	spurious	supported	True	control_dependency	identifier	interpreted_string_literal	fmt	"""invalid configuration, multiple packages with the same name: pkg=%s"""
test6_t783_s09	6	783	9	spurious	spurious	True	unsupported	package_identifier	interpreted_string_literal	config	"""invalid configuration, multiple packages with the same name: pkg=%s"""
test6_t783_s10	6	783	10	spurious	spurious	False	unmapped				
test42_t4608_s01	42	4608	1	supported	supported	True	source_in_target_selector_chain	field_identifier	field_identifier	Changefeed	Errorf
test42_t4608_s02	42	4608	2	spurious	spurious	True	unsupported	selector_expression	field_identifier		Errorf
test42_t4608_s03	42	4608	3	spurious	spurious	False	unmapped				
test42_t4608_s04	42	4608	4	spurious	spurious	True	unsupported	selector_expression	field_identifier		Errorf
test42_t4608_s05	42	4608	5	spurious	spurious	True	unsupported	field_identifier	field_identifier	Warningf	Errorf
test42_t4608_s06	42	4608	6	spurious	spurious	True	unsupported	selector_expression	field_identifier		Errorf
test42_t4608_s07	42	4608	7	spurious	spurious	True	unsupported	selector_expression	field_identifier		Errorf
test42_t4608_s08	42	4608	8	spurious	spurious	False	unmapped				
test42_t4608_s09	42	4608	9	spurious	spurious	True	unsupported	selector_expression	field_identifier		Errorf
test42_t4608_s10	42	4608	10	spurious	spurious	True	unsupported	selector_expression	field_identifier		Errorf
test69_t1081_s01	69	1081	1	spurious	spurious	False	unmapped				
test69_t1081_s02	69	1081	2	spurious	spurious	False	unmapped				
test69_t1081_s03	69	1081	3	spurious	supported	True	control_dependency	short_var_declaration	identifier		log
test69_t1081_s04	69	1081	4	spurious	spurious	False	unmapped				
test69_t1081_s05	69	1081	5	spurious	spurious	False	unmapped				
test69_t1081_s06	69	1081	6	spurious	spurious	True	unsupported	short_var_declaration	identifier		log
test69_t1081_s07	69	1081	7	spurious	spurious	False	unmapped				
test69_t1081_s08	69	1081	8	spurious	spurious	False	unmapped				
test69_t1081_s09	69	1081	9	spurious	spurious	True	unsupported	method_declaration	identifier		log
test69_t1081_s10	69	1081	10	spurious	spurious	False	unmapped				
test34_t439_s01	34	439	1	spurious	spurious	False	unmapped				
test34_t439_s02	34	439	2	spurious	spurious	True	unsupported	function_declaration	return_statement		
test34_t439_s03	34	439	3	spurious	spurious	True	unsupported	short_var_declaration	return_statement		
test34_t439_s04	34	439	4	spurious	spurious	False	unmapped				
test34_t439_s05	34	439	5	spurious	spurious	False	unmapped				
test34_t439_s06	34	439	6	spurious	spurious	False	unmapped				
test34_t439_s07	34	439	7	spurious	spurious	False	unmapped				
test34_t439_s08	34	439	8	spurious	spurious	False	unmapped				
test34_t439_s09	34	439	9	spurious	spurious	False	unmapped				
test34_t439_s10	34	439	10	spurious	spurious	False	unmapped				
test70_t1288_s01	70	1288	1	spurious	spurious	False	unmapped				
test70_t1288_s02	70	1288	2	spurious	spurious	True	unsupported	raw_string_literal_content	raw_string_literal_content	`\nWITH enum_members AS (\n\tSELECT\n\t\t\t\tjson_array_elements(\n\t\t\t\t\t\tcrdb_internal.pb_to_json(\n\t\t\t\t\t\t\t\t'cockroach.sql.sqlbase.Descriptor',\n\t\t\t\t\t\t\t\tdescriptor\n\t\t\t\t\t\t)->'type'->'enumMembers'\n\t\t\t\t)->>'logicalRepresentation'\n\t\t\t\tAS v\n\t\tFROM\n\t\t\t\tsystem.descriptor\n\t\tWHERE\n\t\t\t\tid = ($1::REGTYPE::INT8 - 100000)\n)\nSELECT\n\tCASE WHEN EXISTS (\n\t\tSELECT v FROM enum_members WHERE v = $2::string\n\t) THEN true\n\tELSE false\n\tEND AS exists\n`	
test70_t1288_s03	70	1288	3	spurious	spurious	True	unsupported	raw_string_literal_content	raw_string_literal_content	`\nWITH\n\tdescriptors\n\t\tAS (\n\t\t\tSELECT\n\t\t\t\tcrdb_internal.pb_to_json(\n\t\t\t\t\t'cockroach.sql.sqlbase.Descriptor',\n\t\t\t\t\tdescriptor\n\t\t\t\t)->'table'\n\t\t\t\t\tAS d\n\t\t\tFROM\n\t\t\t\tsystem.descriptor\n\t\t\tWHERE\n\t\t\t\tid = $1::REGCLASS\n\t\t)\nSELECT\n\tEXISTS(\n\t\tSELECT\n\t\t\t1\n\t\tFROM\n\t\t\tdescriptors\n\t\tWHERE\n\t\t\td->'localityConfig'->'regionalByRow' IS NOT NULL\n\t);\n\t\t`	
test70_t1288_s04	70	1288	4	spurious	spurious	True	unsupported	field_identifier	raw_string_literal_content	databaseIsMultiRegion	
test70_t1288_s05	70	1288	5	spurious	spurious	True	unsupported	raw_string_literal_content	raw_string_literal_content	`\nSELECT\n\tjson_array_length(\n\t\tCOALESCE(\n\t\t\tcrdb_internal.pb_to_json(\n\t\t\t\t'cockroach.sql.sqlbase.Descriptor',\n\t\t\t\tdescriptor\n\t\t\t)->'table'->'mutations',\n\t\t\t'[]'\n\t\t)\n\t)\n\t> 0\nFROM\n\tsystem.descriptor\nWHERE\n\tid = $1::REGCLASS;\n\t\t`	
test70_t1288_s06	70	1288	6	spurious	spurious	True	unsupported	raw_string_literal_content	raw_string_literal_content	`\nWITH enum_members AS (\n\tSELECT\n\t\t\t\tjson_array_elements(\n\t\t\t\t\t\tcrdb_internal.pb_to_json(\n\t\t\t\t\t\t\t\t'cockroach.sql.sqlbase.Descriptor',\n\t\t\t\t\t\t\t\tdescriptor\n\t\t\t\t\t\t)->'type'->'enumMembers'\n\t\t\t\t)->>'logicalRepresentation'\n\t\t\t\tAS v\n\t\tFROM\n\t\t\t\tsystem.descriptor\n\t\tWHERE\n\t\t\t\tid = ($1::REGTYPE::INT8 - 100000)\n)\nSELECT\n\tCASE WHEN EXISTS (\n\t\tSELECT v FROM enum_members WHERE v = $2::string\n\t) THEN true\n\tELSE false\n\tEND AS exists\n`	
test70_t1288_s07	70	1288	7	spurious	spurious	False	unmapped				
test70_t1288_s08	70	1288	8	spurious	spurious	True	unsupported	identifier	raw_string_literal_content	Scan	
test70_t1288_s09	70	1288	9	spurious	spurious	True	unsupported	raw_string_literal_content	raw_string_literal_content	`\nWITH\n\tdescriptors\n\t\tAS (\n\t\t\tSELECT\n\t\t\t\tcrdb_internal.pb_to_json(\n\t\t\t\t\t'cockroach.sql.sqlbase.Descriptor',\n\t\t\t\t\tdescriptor\n\t\t\t\t)->'table'\n\t\t\t\t\tAS d\n\t\t\tFROM\n\t\t\t\tsystem.descriptor\n\t\t\tWHERE\n\t\t\t\tid = $1::REGCLASS\n\t\t)\nSELECT\n\tEXISTS(\n\t\tSELECT\n\t\t\t1\n\t\tFROM\n\t\t\tdescriptors\n\t\tWHERE\n\t\t\td->'localityConfig'->'regionalByRow' IS NOT NULL\n\t);\n\t\t`	
test70_t1288_s10	70	1288	10	spurious	spurious	True	unsupported	raw_string_literal_content	raw_string_literal_content	`\nWITH\n\tdescriptors\n\t\tAS (\n\t\t\tSELECT\n\t\t\t\tcrdb_internal.pb_to_json(\n\t\t\t\t\t'cockroach.sql.sqlbase.Descriptor',\n\t\t\t\t\tdescriptor\n\t\t\t\t)->'table'\n\t\t\t\t\tAS d\n\t\t\tFROM\n\t\t\t\tsystem.descriptor\n\t\t\tWHERE\n\t\t\t\tid = $1::REGCLASS\n\t\t)\nSELECT\n\tCOALESCE (d->'localityConfig'->'regionalByRow'->>'as', $2)\nFROM\n\tdescriptors;\n`	
test39_t987_s01	39	987	1	spurious	spurious	False	unmapped				
test39_t987_s02	39	987	2	spurious	supported	True	control_dependency	identifier	if_statement	dir	
test39_t987_s03	39	987	3	spurious	spurious	False	unmapped				
test39_t987_s04	39	987	4	spurious	spurious	False	unmapped				
test39_t987_s05	39	987	5	spurious	supported	True	control_dependency	argument_list	if_statement		
test39_t987_s06	39	987	6	spurious	supported	True	control_dependency	if_statement	if_statement		
test39_t987_s07	39	987	7	spurious	supported	True	control_dependency	short_var_declaration	if_statement		
test39_t987_s08	39	987	8	spurious	supported	True	control_dependency	for_statement	if_statement		
test39_t987_s09	39	987	9	spurious	spurious	False	unmapped				
test39_t987_s10	39	987	10	spurious	spurious	False	unmapped				
test21_t406_s01	21	406	1	supported	supported	True	source_in_target_selector_chain	identifier	interpreted_string_literal	tracef	"""uint available for flag name %[1]q (cmd=%[2]q)"""
test21_t406_s02	21	406	2	supported	supported	True	source_in_target_selector_chain	identifier	interpreted_string_literal	tracef	"""uint available for flag name %[1]q (cmd=%[2]q)"""
test21_t406_s03	21	406	3	supported	supported	True	source_in_target_selector_chain	identifier	interpreted_string_literal	tracef	"""uint available for flag name %[1]q (cmd=%[2]q)"""
test21_t406_s04	21	406	4	spurious	supported	True	control_dependency	identifier	interpreted_string_literal	ok	"""uint available for flag name %[1]q (cmd=%[2]q)"""
test21_t406_s05	21	406	5	spurious	spurious	False	unmapped				
test21_t406_s06	21	406	6	supported	supported	True	same_selector_chain	interpreted_string_literal_content	interpreted_string_literal	"""uint NOT available for flag name %[1]q (cmd=%[2]q)"""	"""uint available for flag name %[1]q (cmd=%[2]q)"""
test21_t406_s07	21	406	7	supported	supported	True	same_selector_chain	interpreted_string_literal_content	interpreted_string_literal	"""uint NOT available for flag name %[1]q (cmd=%[2]q)"""	"""uint available for flag name %[1]q (cmd=%[2]q)"""
test21_t406_s08	21	406	8	spurious	spurious	False	unmapped				
test21_t406_s09	21	406	9	spurious	spurious	True	unsupported	field_identifier	interpreted_string_literal	Uint	"""uint available for flag name %[1]q (cmd=%[2]q)"""
test21_t406_s10	21	406	10	supported	supported	True	same_selector_chain	interpreted_string_literal_content	interpreted_string_literal	"""uint NOT available for flag name %[1]q (cmd=%[2]q)"""	"""uint available for flag name %[1]q (cmd=%[2]q)"""
test91_t302_s01	91	302	1	supported	supported	True	same_identifier	identifier	identifier	m	m
test91_t302_s02	91	302	2	supported	supported	True	same_identifier	identifier	identifier	m	m
test91_t302_s03	91	302	3	spurious	spurious	False	unmapped				
test91_t302_s04	91	302	4	supported	supported	True	same_identifier	identifier	identifier	m	m
test91_t302_s05	91	302	5	spurious	spurious	True	unsupported	identifier	identifier	l	m
test91_t302_s06	91	302	6	spurious	supported	True	control_dependency	nil	identifier		m
test91_t302_s07	91	302	7	supported	supported	True	target_in_source_selector_chain	selector_expression	identifier		m
test91_t302_s08	91	302	8	spurious	spurious	False	unmapped				
test91_t302_s09	91	302	9	spurious	spurious	True	unsupported	identifier	identifier	n	m
test91_t302_s10	91	302	10	spurious	spurious	True	unsupported	return_statement	identifier		m
test47_t3305_s01	47	3305	1	supported	supported	True	source_in_target_selector_chain	identifier	field_identifier	structs	HealthFilterExcludeNonPassing
test47_t3305_s02	47	3305	2	spurious	spurious	True	unsupported	selector_expression	field_identifier		HealthFilterExcludeNonPassing
test47_t3305_s03	47	3305	3	spurious	spurious	True	unsupported	field_identifier	field_identifier	CheckServiceNodes	HealthFilterExcludeNonPassing
test47_t3305_s04	47	3305	4	spurious	supported	True	same_statement	identifier	field_identifier	filterType	HealthFilterExcludeNonPassing
test47_t3305_s05	47	3305	5	spurious	spurious	True	unsupported	comment	field_identifier		HealthFilterExcludeNonPassing
test47_t3305_s06	47	3305	6	spurious	supported	True	control_dependency	selector_expression	field_identifier		HealthFilterExcludeNonPassing
test47_t3305_s07	47	3305	7	spurious	supported	True	same_statement	identifier	field_identifier	filterType	HealthFilterExcludeNonPassing
test47_t3305_s08	47	3305	8	spurious	spurious	True	unsupported	field_identifier	field_identifier	HealthFilterExcludeCritical	HealthFilterExcludeNonPassing
test47_t3305_s09	47	3305	9	spurious	spurious	True	unsupported	comment	field_identifier		HealthFilterExcludeNonPassing
test47_t3305_s10	47	3305	10	spurious	spurious	True	unsupported	qualified_type	field_identifier		HealthFilterExcludeNonPassing
test61_t2379_s01	61	2379	1	spurious	supported	True	same_statement	selector_expression	raw_string_literal		"`The regular expression used in the file filter ""%s"" is invalid: %s`"
test61_t2379_s02	61	2379	2	supported	supported	True	source_in_target_selector_chain	identifier	raw_string_literal	fmt	"`The regular expression used in the file filter ""%s"" is invalid: %s`"
test61_t2379_s03	61	2379	3	supported	supported	True	source_in_target_selector_chain	identifier	raw_string_literal	fmt	"`The regular expression used in the file filter ""%s"" is invalid: %s`"
test61_t2379_s04	61	2379	4	spurious	spurious	False	unmapped				
test61_t2379_s05	61	2379	5	spurious	spurious	False	unmapped				
test61_t2379_s06	61	2379	6	spurious	supported	True	same_statement	identifier	raw_string_literal	Message	"`The regular expression used in the file filter ""%s"" is invalid: %s`"
test61_t2379_s07	61	2379	7	spurious	spurious	True	unsupported	identifier	raw_string_literal	formatter	"`The regular expression used in the file filter ""%s"" is invalid: %s`"
test61_t2379_s08	61	2379	8	supported	supported	True	source_in_target_selector_chain	identifier	raw_string_literal	err	"`The regular expression used in the file filter ""%s"" is invalid: %s`"
test61_t2379_s09	61	2379	9	spurious	spurious	True	unsupported	argument_list	raw_string_literal		"`The regular expression used in the file filter ""%s"" is invalid: %s`"
test61_t2379_s10	61	2379	10	spurious	spurious	True	unsupported	selector_expression	raw_string_literal		"`The regular expression used in the file filter ""%s"" is invalid: %s`"
test56_t2109_s01	56	2109	1	supported	supported	True	same_identifier	raw_string_literal_content	raw_string_literal_content	"`\n\t\tcheck_deregister_interval_min = ""1m""\n\t\tcheck_reap_interval = ""30s""\n\t\tae_interval = ""1m""\n\t\tsync_coordinate_rate_target = 64\n\t\tsync_coordinate_interval_min = ""15s""\n\n\t\t# SegmentNameLimit is the maximum segment name length.\n\t\tsegment_name_limit = 64\n \t\tsegment_id_limit = 256\n\t\tports = {\n\t\t\tgrpc = 8502\n\t\t}\n\t\texperiments \n\t\tpeering = {\n\t\t\t# We use peer registration for various testing\n\t\t\ttest_allow_peer_registrations = false\n\t\t}\n\t`"	"`\n\t\tcheck_deregister_interval_min = ""1m""\n\t\tcheck_reap_interval = ""30s""\n\t\tae_interval = ""1m""\n\t\tsync_coordinate_rate_target = 64\n\t\tsync_coordinate_interval_min = ""15s""\n\n\t\t# SegmentNameLimit is the maximum segment name length.\n\t\tsegment_name_limit = 64\n \t\tsegment_id_limit = 256\n\t\tports = {\n\t\t\tgrpc = 8502\n\t\t}\n\t\texperiments \n\t\tpeering = {\n\t\t\t# We use peer registration for various testing\n\t\t\ttest_allow_peer_registrations = false\n\t\t}\n\t`"
test56_t2109_s02	56	2109	2	spurious	spurious	True	unsupported	raw_string_literal_content	raw_string_literal_content	"`\n\t\tretry_interval = ""30s""\n\t\tretry_interval_wan = ""30s""\n\n\t\t# segment_limit is the maximum number of network segments that may be declared. Default 64 is highly encouraged\n\t\tsegment_limit = 64\n\n\t\tserver = false\n\t\tserver_rejoin_age_max = ""168h""\n\t\tsyslog_facility = ""LOCAL0""\n\n\t\ttls = {\n\t\t\tdefaults = {\n\t\t\t\ttls_min_version = ""TLSv1_2""\n\t\t\t}\n\t\t}\n\n\t\t// TODO (slackpad) - Until #3744 is done, we need to keep these\n\t\t// in sync with agent/consul/config.go.\n\t\tautopilot = {\n\t\t\tcleanup_dead_servers = true\n\t\t\tlast_contact_threshold = ""200ms""\n\t\t\tmax_trailing_logs = 250\n\t\t\tserver_stabilization_time = ""10s""\n\t\t}\n\t\tgossip_lan = {\n\t\t\tgossip_interval = ""`"	"`\n\t\tcheck_deregister_interval_min = ""1m""\n\t\tcheck_reap_interval = ""30s""\n\t\tae_interval = ""1m""\n\t\tsync_coordinate_rate_target = 64\n\t\tsync_coordinate_interval_min = ""15s""\n\n\t\t# SegmentNameLimit is the maximum segment name length.\n\t\tsegment_name_limit = 64\n \t\tsegment_id_limit = 256\n\t\tports = {\n\t\t\tgrpc = 8502\n\t\t}\n\t\texperiments \n\t\tpeering = {\n\t\t\t# We use peer registration for various testing\n\t\t\ttest_allow_peer_registrations = false\n\t\t}\n\t`"
test56_t2109_s03	56	2109	3	spurious	spurious	True	unsupported	raw_string_literal_content	raw_string_literal_content	"`\n\t\tretry_interval = ""30s""\n\t\tretry_interval_wan = ""30s""\n\n\t\t# segment_limit is the maximum number of network segments that may be declared. Default 64 is highly encouraged\n\t\tsegment_limit = 64\n\n\t\tserver = false\n\t\tserver_rejoin_age_max = ""168h""\n\t\tsyslog_facility = ""LOCAL0""\n\n\t\ttls = {\n\t\t\tdefaults = {\n\t\t\t\ttls_min_version = ""TLSv1_2""\n\t\t\t}\n\t\t}\n\n\t\t// TODO (slackpad) - Until #3744 is done, we need to keep these\n\t\t// in sync with agent/consul/config.go.\n\t\tautopilot = {\n\t\t\tcleanup_dead_servers = true\n\t\t\tlast_contact_threshold = ""200ms""\n\t\t\tmax_trailing_logs = 250\n\t\t\tserver_stabilization_time = ""10s""\n\t\t}\n\t\tgossip_lan = {\n\t\t\tgossip_interval = ""`"	"`\n\t\tcheck_deregister_interval_min = ""1m""\n\t\tcheck_reap_interval = ""30s""\n\t\tae_interval = ""1m""\n\t\tsync_coordinate_rate_target = 64\n\t\tsync_coordinate_interval_min = ""15s""\n\n\t\t# SegmentNameLimit is the maximum segment name length.\n\t\tsegment_name_limit = 64\n \t\tsegment_id_limit = 256\n\t\tports = {\n\t\t\tgrpc = 8502\n\t\t}\n\t\texperiments \n\t\tpeering = {\n\t\t\t# We use peer registration for various testing\n\t\t\ttest_allow_peer_registrations = false\n\t\t}\n\t`"
test56_t2109_s04	56	2109	4	spurious	spurious	True	unsupported	raw_string_literal_content	raw_string_literal_content	"`\n\t\t\trpc_hold_timeout = ""7s""\n\t\t\tgrpc_keepalive_interval = ""30s""\n\t\t\tgrpc_keepalive_timeout = ""20s""\n\t\t\tenable_xds_load_balancing = true\n\t\t}\n\t\tports = {\n\t\t\tdns = 8600\n\t\t\thttp = 8500\n\t\t\thttps = -1\n\t\t\tgrpc = -1\n\t\t\tserf_lan = `"	"`\n\t\tcheck_deregister_interval_min = ""1m""\n\t\tcheck_reap_interval = ""30s""\n\t\tae_interval = ""1m""\n\t\tsync_coordinate_rate_target = 64\n\t\tsync_coordinate_interval_min = ""15s""\n\n\t\t# SegmentNameLimit is the maximum segment name length.\n\t\tsegment_name_limit = 64\n \t\tsegment_id_limit = 256\n\t\tports = {\n\t\t\tgrpc = 8502\n\t\t}\n\t\texperiments \n\t\tpeering = {\n\t\t\t# We use peer registration for various testing\n\t\t\ttest_allow_peer_registrations = false\n\t\t}\n\t`"
test56_t2109_s05	56	2109	5	supported	supported	True	same_identifier	raw_string_literal_content	raw_string_literal_content	"`\n\t\tcheck_deregister_interval_min = ""1m""\n\t\tcheck_reap_interval = ""30s""\n\t\tae_interval = ""1m""\n\t\tsync_coordinate_rate_target = 64\n\t\tsync_coordinate_interval_min = ""15s""\n\n\t\t# SegmentNameLimit is the maximum segment name length.\n\t\tsegment_name_limit = 64\n \t\tsegment_id_limit = 256\n\t\tports = {\n\t\t\tgrpc = 8502\n\t\t}\n\t\texperiments \n\t\tpeering = {\n\t\t\t# We use peer registration for various testing\n\t\t\ttest_allow_peer_registrations = false\n\t\t}\n\t`"	"`\n\t\tcheck_deregister_interval_min = ""1m""\n\t\tcheck_reap_interval = ""30s""\n\t\tae_interval = ""1m""\n\t\tsync_coordinate_rate_target = 64\n\t\tsync_coordinate_interval_min = ""15s""\n\n\t\t# SegmentNameLimit is the maximum segment name length.\n\t\tsegment_name_limit = 64\n \t\tsegment_id_limit = 256\n\t\tports = {\n\t\t\tgrpc = 8502\n\t\t}\n\t\texperiments \n\t\tpeering = {\n\t\t\t# We use peer registration for various testing\n\t\t\ttest_allow_peer_registrations = false\n\t\t}\n\t`"
test56_t2109_s06	56	2109	6	spurious	spurious	True	unsupported	raw_string_literal_content	raw_string_literal_content	"`\n\t\t}\n\t\tdns_config = {\n\t\t\tallow_stale = true\n\t\t\ta_record_limit = 0\n\t\t\tudp_answer_limit = 3\n\t\t\tmax_stale = ""87600h""\n\t\t\trecursor_timeout = ""2s""\n\t\t}\n\t\tlimits = {\n\t\t\thttp_max_conns_per_client = 200\n\t\t\thttps_handshake_timeout = ""5s""\n\t\t\trequest_limits = {\n\t\t\t\tmode = ""disabled""\n\t\t\t\tread_rate = -1\n\t\t\t\twrite_rate = -1\n\t\t\t}\n\t\t\trpc_handshake_timeout = ""5s""\n\t\t\trpc_client_timeout = ""60s""\n\t\t\trpc_rate = -1\n\t\t\trpc_max_burst = 1000\n\t\t\trpc_max_conns_per_client = 100\n\t\t\tkv_max_value_size = `"	"`\n\t\tcheck_deregister_interval_min = ""1m""\n\t\tcheck_reap_interval = ""30s""\n\t\tae_interval = ""1m""\n\t\tsync_coordinate_rate_target = 64\n\t\tsync_coordinate_interval_min = ""15s""\n\n\t\t# SegmentNameLimit is the maximum segment name length.\n\t\tsegment_name_limit = 64\n \t\tsegment_id_limit = 256\n\t\tports = {\n\t\t\tgrpc = 8502\n\t\t}\n\t\texperiments \n\t\tpeering = {\n\t\t\t# We use peer registration for various testing\n\t\t\ttest_allow_peer_registrations = false\n\t\t}\n\t`"
test56_t2109_s07	56	2109	7	spurious	spurious	True	unsupported	raw_string_literal_content	raw_string_literal_content	"`\n\t\tretry_interval = ""30s""\n\t\tretry_interval_wan = ""30s""\n\n\t\t# segment_limit is the maximum number of network segments that may be declared. Default 64 is highly encouraged\n\t\tsegment_limit = 64\n\n\t\tserver = false\n\t\tserver_rejoin_age_max = ""168h""\n\t\tsyslog_facility = ""LOCAL0""\n\n\t\ttls = {\n\t\t\tdefaults = {\n\t\t\t\ttls_min_version = ""TLSv1_2""\n\t\t\t}\n\t\t}\n\n\t\t// TODO (slackpad) - Until #3744 is done, we need to keep these\n\t\t// in sync with agent/consul/config.go.\n\t\tautopilot = {\n\t\t\tcleanup_dead_servers = true\n\t\t\tlast_contact_threshold = ""200ms""\n\t\t\tmax_trailing_logs = 250\n\t\t\tserver_stabilization_time = ""10s""\n\t\t}\n\t\tgossip_lan = {\n\t\t\tgossip_interval = ""`"	"`\n\t\tcheck_deregister_interval_min = ""1m""\n\t\tcheck_reap_interval = ""30s""\n\t\tae_interval = ""1m""\n\t\tsync_coordinate_rate_target = 64\n\t\tsync_coordinate_interval_min = ""15s""\n\n\t\t# SegmentNameLimit is the maximum segment name length.\n\t\tsegment_name_limit = 64\n \t\tsegment_id_limit = 256\n\t\tports = {\n\t\t\tgrpc = 8502\n\t\t}\n\t\texperiments \n\t\tpeering = {\n\t\t\t# We use peer registration for various testing\n\t\t\ttest_allow_peer_registrations = false\n\t\t}\n\t`"
test56_t2109_s08	56	2109	8	spurious	spurious	False	unmapped				
