item_id	case_order	source_order	test_sample_index	task_id	target_token_index	target_token	generated_first_error	reference_token	source_rank	source_token_index	source_token	alti_saliency	source_context	target_context	generated_completion_preview	reference_completion_preview	full_generated_code_path	full_reference_code_path	full_generated_completion_path	full_reference_completion_path	full_prompt_path	human_label	human_confidence	human_rationale
test46_t2160_s01	2	1	46	test46	2160	"("""	"""cannot update the privateKeyType field without changingRootPKIPath"""	"""cannot update the PrivateKeyType field without changing RootPKIPath"""	1	2159	.Errorf	0.066023	" !=  next .Private KeyType  {\n \t\t \treturn  fmt [SOURCE:.Errorf] ("" cannot  update  the  private KeyType  field  without"	" next .Private KeyType  {\n \t\t \treturn  fmt .Errorf [TARGET:(""] cannot  update  the  private KeyType  field  without  changing"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the privateKeyType field without changingRootPKIPath"")\n\t\t}"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the PrivateKeyType field without changing RootPKIPath"")\n\t\t}"	spurious_correlation_results/human_annotation/full_code/test46/generated.go	spurious_correlation_results/human_annotation/full_code/test46/reference.go	spurious_correlation_results/human_annotation/full_code/test46/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/prompt.txt			
test46_t2160_s02	2	2	46	test46	2160	"("""	"""cannot update the privateKeyType field without changingRootPKIPath"""	"""cannot update the PrivateKeyType field without changing RootPKIPath"""	2	2103	.Errorf	0.019849	" next .Private Key Bits  {\n \t\t \treturn  fmt [SOURCE:.Errorf] ("" cannot  update  the  Private Key Bits  field"	" next .Private KeyType  {\n \t\t \treturn  fmt .Errorf [TARGET:(""] cannot  update  the  private KeyType  field  without  changing"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the privateKeyType field without changingRootPKIPath"")\n\t\t}"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the PrivateKeyType field without changing RootPKIPath"")\n\t\t}"	spurious_correlation_results/human_annotation/full_code/test46/generated.go	spurious_correlation_results/human_annotation/full_code/test46/reference.go	spurious_correlation_results/human_annotation/full_code/test46/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/prompt.txt			
test46_t2160_s03	2	3	46	test46	2160	"("""	"""cannot update the privateKeyType field without changingRootPKIPath"""	"""cannot update the PrivateKeyType field without changing RootPKIPath"""	3	1972	.Errorf	0.008823	"\tif  err  !=  nil  {\n \t \treturn  fmt [SOURCE:.Errorf] ("" failed  to  parse  existing  CA  config :"	" next .Private KeyType  {\n \t\t \treturn  fmt .Errorf [TARGET:(""] cannot  update  the  private KeyType  field  without  changing"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the privateKeyType field without changingRootPKIPath"")\n\t\t}"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the PrivateKeyType field without changing RootPKIPath"")\n\t\t}"	spurious_correlation_results/human_annotation/full_code/test46/generated.go	spurious_correlation_results/human_annotation/full_code/test46/reference.go	spurious_correlation_results/human_annotation/full_code/test46/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/prompt.txt			
test46_t2160_s04	2	4	46	test46	2160	"("""	"""cannot update the privateKeyType field without changingRootPKIPath"""	"""cannot update the PrivateKeyType field without changing RootPKIPath"""	4	2029	.Root	0.003609	"w "",  err )\n \t }\n\n \tif  prev [SOURCE:.Root] PK I Path  !=  next .Root PK I"	" next .Private KeyType  {\n \t\t \treturn  fmt .Errorf [TARGET:(""] cannot  update  the  private KeyType  field  without  changing"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the privateKeyType field without changingRootPKIPath"")\n\t\t}"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the PrivateKeyType field without changing RootPKIPath"")\n\t\t}"	spurious_correlation_results/human_annotation/full_code/test46/generated.go	spurious_correlation_results/human_annotation/full_code/test46/reference.go	spurious_correlation_results/human_annotation/full_code/test46/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/prompt.txt			
test46_t2160_s05	2	5	46	test46	2160	"("""	"""cannot update the privateKeyType field without changingRootPKIPath"""	"""cannot update the PrivateKeyType field without changing RootPKIPath"""	5	1908	 Validate	0.006264	 complete  func  ( v  * Vault Provider ) [SOURCE: Validate] Config Update (( prev Raw  * ast .Map	" next .Private KeyType  {\n \t\t \treturn  fmt .Errorf [TARGET:(""] cannot  update  the  private KeyType  field  without  changing"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the privateKeyType field without changingRootPKIPath"")\n\t\t}"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the PrivateKeyType field without changing RootPKIPath"")\n\t\t}"	spurious_correlation_results/human_annotation/full_code/test46/generated.go	spurious_correlation_results/human_annotation/full_code/test46/reference.go	spurious_correlation_results/human_annotation/full_code/test46/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/prompt.txt			
test46_t2160_s06	2	6	46	test46	2160	"("""	"""cannot update the privateKeyType field without changingRootPKIPath"""	"""cannot update the PrivateKeyType field without changing RootPKIPath"""	6	2111	 field	0.00093	".Errorf ("" cannot  update  the  Private Key Bits [SOURCE: field]  without  changing  Root PK I Path "")\n \t"	" next .Private KeyType  {\n \t\t \treturn  fmt .Errorf [TARGET:(""] cannot  update  the  private KeyType  field  without  changing"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the privateKeyType field without changingRootPKIPath"")\n\t\t}"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the PrivateKeyType field without changing RootPKIPath"")\n\t\t}"	spurious_correlation_results/human_annotation/full_code/test46/generated.go	spurious_correlation_results/human_annotation/full_code/test46/reference.go	spurious_correlation_results/human_annotation/full_code/test46/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/prompt.txt			
test46_t2160_s07	2	7	46	test46	2160	"("""	"""cannot update the privateKeyType field without changingRootPKIPath"""	"""cannot update the PrivateKeyType field without changing RootPKIPath"""	7	2073	Bits	0.005066	>   \t }\n\n \tif  prev .Private Key [SOURCE:Bits]  !=   0  &&  prev .Private Key Bits	" next .Private KeyType  {\n \t\t \treturn  fmt .Errorf [TARGET:(""] cannot  update  the  private KeyType  field  without  changing"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the privateKeyType field without changingRootPKIPath"")\n\t\t}"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the PrivateKeyType field without changing RootPKIPath"")\n\t\t}"	spurious_correlation_results/human_annotation/full_code/test46/generated.go	spurious_correlation_results/human_annotation/full_code/test46/reference.go	spurious_correlation_results/human_annotation/full_code/test46/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/prompt.txt			
test46_t2160_s08	2	8	46	test46	2160	"("""	"""cannot update the privateKeyType field without changingRootPKIPath"""	"""cannot update the PrivateKeyType field without changing RootPKIPath"""	8	2057	 connect	0.002388	"KeyType  !=  """"  &&  prev .Private KeyType  != [SOURCE: connect] .Default PrivateKey Type  {  < M ID >"	" next .Private KeyType  {\n \t\t \treturn  fmt .Errorf [TARGET:(""] cannot  update  the  private KeyType  field  without  changing"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the privateKeyType field without changingRootPKIPath"")\n\t\t}"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the PrivateKeyType field without changing RootPKIPath"")\n\t\t}"	spurious_correlation_results/human_annotation/full_code/test46/generated.go	spurious_correlation_results/human_annotation/full_code/test46/reference.go	spurious_correlation_results/human_annotation/full_code/test46/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/prompt.txt			
test46_t2160_s09	2	9	46	test46	2160	"("""	"""cannot update the privateKeyType field without changingRootPKIPath"""	"""cannot update the PrivateKeyType field without changing RootPKIPath"""	9	1977	 existing	0.001604	"\t \treturn  fmt .Errorf ("" failed  to  parse [SOURCE: existing]  CA  config :  % w "",  err )\n"	" next .Private KeyType  {\n \t\t \treturn  fmt .Errorf [TARGET:(""] cannot  update  the  private KeyType  field  without  changing"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the privateKeyType field without changingRootPKIPath"")\n\t\t}"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the PrivateKeyType field without changing RootPKIPath"")\n\t\t}"	spurious_correlation_results/human_annotation/full_code/test46/generated.go	spurious_correlation_results/human_annotation/full_code/test46/reference.go	spurious_correlation_results/human_annotation/full_code/test46/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/prompt.txt			
test46_t2160_s10	2	10	46	test46	2160	"("""	"""cannot update the privateKeyType field without changingRootPKIPath"""	"""cannot update the PrivateKeyType field without changing RootPKIPath"""	10	2063	M	0.002858	KeyType  !=  connect .Default PrivateKey Type  {  < [SOURCE:M] ID >   \t }\n\n \tif  prev .Private	" next .Private KeyType  {\n \t\t \treturn  fmt .Errorf [TARGET:(""] cannot  update  the  private KeyType  field  without  changing"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the privateKeyType field without changingRootPKIPath"")\n\t\t}"	"\t\tif prev.PrivateKeyType != next.PrivateKeyType {\n\t\t\treturn fmt.Errorf(""cannot update the PrivateKeyType field without changing RootPKIPath"")\n\t\t}"	spurious_correlation_results/human_annotation/full_code/test46/generated.go	spurious_correlation_results/human_annotation/full_code/test46/reference.go	spurious_correlation_results/human_annotation/full_code/test46/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test46/prompt.txt			
test49_t1809_s01	3	1	49	test49	1809	\tif	if	t	1	1656	 Assert	0.011173	 the  function  you  are  asked  to  complete  func [SOURCE: Assert] Expect ations For Objects (( t  Testing T	 are  returned <|im_end|> \n <|im_start|> assistant \n \t\t [TARGET:\tif]  ! m .Assert Expect ations (t )  {\n	"\t\t\tif !m.AssertExpectations(t) {\n\t\t\t\tt.Logf(""Expectations didn't match forMock: %+v"", reflect.TypeOf(m))\n\t\t\t\treturn false"	"\t\t\tt.Logf(""Deprecated mock.AssertExpectationsForObjects(myMock.Mock) use mock.AssertExpectationsForObjects(myMock)"")\n\t\t\tobj = m"	spurious_correlation_results/human_annotation/full_code/test49/generated.go	spurious_correlation_results/human_annotation/full_code/test49/reference.go	spurious_correlation_results/human_annotation/full_code/test49/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test49/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test49/prompt.txt			
test49_t1809_s02	3	2	49	test49	1809	\tif	if	t	2	1571	\tpanic	0.004744	Time )\n \t }\n\n \tm .mutex .Lock ()\n [SOURCE:\tpanic] Msg  :=  call .P anic Msg \n \tm	 are  returned <|im_end|> \n <|im_start|> assistant \n \t\t [TARGET:\tif]  ! m .Assert Expect ations (t )  {\n	"\t\t\tif !m.AssertExpectations(t) {\n\t\t\t\tt.Logf(""Expectations didn't match forMock: %+v"", reflect.TypeOf(m))\n\t\t\t\treturn false"	"\t\t\tt.Logf(""Deprecated mock.AssertExpectationsForObjects(myMock.Mock) use mock.AssertExpectationsForObjects(myMock)"")\n\t\t\tobj = m"	spurious_correlation_results/human_annotation/full_code/test49/generated.go	spurious_correlation_results/human_annotation/full_code/test49/reference.go	spurious_correlation_results/human_annotation/full_code/test49/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test49/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test49/prompt.txt			
test49_t1809_s03	3	3	49	test49	1809	\tif	if	t	3	357	Mock	0.009357	\treturn  false \n }\n\n func  ( m  * [SOURCE:Mock] )  find Close st Call (method  string ,	 are  returned <|im_end|> \n <|im_start|> assistant \n \t\t [TARGET:\tif]  ! m .Assert Expect ations (t )  {\n	"\t\t\tif !m.AssertExpectations(t) {\n\t\t\t\tt.Logf(""Expectations didn't match forMock: %+v"", reflect.TypeOf(m))\n\t\t\t\treturn false"	"\t\t\tt.Logf(""Deprecated mock.AssertExpectationsForObjects(myMock.Mock) use mock.AssertExpectationsForObjects(myMock)"")\n\t\t\tobj = m"	spurious_correlation_results/human_annotation/full_code/test49/generated.go	spurious_correlation_results/human_annotation/full_code/test49/reference.go	spurious_correlation_results/human_annotation/full_code/test49/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test49/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test49/prompt.txt			
test49_t1809_s04	3	4	49	test49	1809	\tif	if	t	4	1660	Objects	0.004413	 asked  to  complete  func  Assert Expect ations For [SOURCE:Objects] (( t  Testing T ,  test Objects  *	 are  returned <|im_end|> \n <|im_start|> assistant \n \t\t [TARGET:\tif]  ! m .Assert Expect ations (t )  {\n	"\t\t\tif !m.AssertExpectations(t) {\n\t\t\t\tt.Logf(""Expectations didn't match forMock: %+v"", reflect.TypeOf(m))\n\t\t\t\treturn false"	"\t\t\tt.Logf(""Deprecated mock.AssertExpectationsForObjects(myMock.Mock) use mock.AssertExpectationsForObjects(myMock)"")\n\t\t\tobj = m"	spurious_correlation_results/human_annotation/full_code/test49/generated.go	spurious_correlation_results/human_annotation/full_code/test49/reference.go	spurious_correlation_results/human_annotation/full_code/test49/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test49/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test49/prompt.txt			
test49_t1809_s05	3	5	49	test49	1809	\tif	if	t	5	1678	Expect	0.004246	.E ll ipsis ))  bool \n func  Assert [SOURCE:Expect] ations For Objects (t  Testing T ,  test	 are  returned <|im_end|> \n <|im_start|> assistant \n \t\t [TARGET:\tif]  ! m .Assert Expect ations (t )  {\n	"\t\t\tif !m.AssertExpectations(t) {\n\t\t\t\tt.Logf(""Expectations didn't match forMock: %+v"", reflect.TypeOf(m))\n\t\t\t\treturn false"	"\t\t\tt.Logf(""Deprecated mock.AssertExpectationsForObjects(myMock.Mock) use mock.AssertExpectationsForObjects(myMock)"")\n\t\t\tobj = m"	spurious_correlation_results/human_annotation/full_code/test49/generated.go	spurious_correlation_results/human_annotation/full_code/test49/reference.go	spurious_correlation_results/human_annotation/full_code/test49/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test49/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test49/prompt.txt			
test49_t1809_s06	3	6	49	test49	1809	\tif	if	t	6	104	reflect	0.003455	""";  "" fmt "";  "" path "";  "" [SOURCE:reflect] "";  "" regexp "";  "" runtime "";  """	 are  returned <|im_end|> \n <|im_start|> assistant \n \t\t [TARGET:\tif]  ! m .Assert Expect ations (t )  {\n	"\t\t\tif !m.AssertExpectations(t) {\n\t\t\t\tt.Logf(""Expectations didn't match forMock: %+v"", reflect.TypeOf(m))\n\t\t\t\treturn false"	"\t\t\tt.Logf(""Deprecated mock.AssertExpectationsForObjects(myMock.Mock) use mock.AssertExpectationsForObjects(myMock)"")\n\t\t\tobj = m"	spurious_correlation_results/human_annotation/full_code/test49/generated.go	spurious_correlation_results/human_annotation/full_code/test49/reference.go	spurious_correlation_results/human_annotation/full_code/test49/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test49/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test49/prompt.txt			
test49_t1809_s07	3	7	49	test49	1809	\tif	if	t	7	1507	alls	0.001017	\t //  add  the  call \n \tm .C [SOURCE:alls]  =  append (m .C alls ,  * new	 are  returned <|im_end|> \n <|im_start|> assistant \n \t\t [TARGET:\tif]  ! m .Assert Expect ations (t )  {\n	"\t\t\tif !m.AssertExpectations(t) {\n\t\t\t\tt.Logf(""Expectations didn't match forMock: %+v"", reflect.TypeOf(m))\n\t\t\t\treturn false"	"\t\t\tt.Logf(""Deprecated mock.AssertExpectationsForObjects(myMock.Mock) use mock.AssertExpectationsForObjects(myMock)"")\n\t\t\tobj = m"	spurious_correlation_results/human_annotation/full_code/test49/generated.go	spurious_correlation_results/human_annotation/full_code/test49/reference.go	spurious_correlation_results/human_annotation/full_code/test49/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test49/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test49/prompt.txt			
